"date","true_rt"
24,1.41087509178962
25,1.38557427006534
26,1.36113781947863
27,1.34325957489602
28,1.32557914771323
29,1.30752999170038
30,1.29498024635498
31,1.28151330611939
32,1.26907279976584
33,1.25795365971478
34,1.24688494666162
35,1.23660644445924
36,1.22834243711726
37,1.21880020577948
38,1.20982194216908
39,1.20446464979054
40,1.19489861630771
41,1.18676431198929
42,1.18195548469748
43,1.17618018379709
44,1.17198409188232
45,1.16695497758753
46,1.16289071110497
47,1.15893765309571
48,1.15418293711948
49,1.15065242023012
50,1.14798672117415
51,1.14334550121347
52,1.13983711254216
53,1.1372875431415
54,1.13412062862109
55,1.13134872041679
56,1.12882751087118
57,1.12617488987303
58,1.1233244699148
59,1.12046101044488
60,1.1181637968664
61,1.11611589976845
62,1.11307762135542
63,1.11049842238626
64,1.10766228622273
65,1.10592520272297
66,1.10384846698424
67,1.10228095048009
68,1.10063508956544
69,1.09973273623585
70,1.09886240427289
71,1.09764092421284
72,1.09588764316052
73,1.09431664276045
74,1.09188492075842
75,1.09090471814005
76,1.08985535148623
77,1.08799267235778
78,1.08586287357887
79,1.085521468522
80,1.08362773210244
81,1.08295332162871
82,1.08246409961255
83,1.08089378990304
84,1.07974709714378
85,1.07808998399275
86,1.07783952430839
87,1.07732099399233
88,1.07628651629333
89,1.0741239664178
90,1.07375506428128
91,1.07301327643486
92,1.07370231551086
93,1.07106988863255
94,1.07090875342613
95,1.06939575901741
96,1.06864748174889
97,1.06844418539427
98,1.06757081427737
99,1.06675375028234
100,1.06495089996534
